category,label,description,examples,source,keywords,is_active,is_global,tenant_id,id,created_date,updated_date,created_by_id,created_by,is_sample
"chimique","Poussières","Inhalation de poussières nocives","Bois, silice, amiante, métaux","INRS","[""poussières"",""inhalation"",""silicose"",""amiante""]","true","true","","695cef1fe682c877aa58fb26","2026-01-06T11:16:47.079000","2026-01-06T11:16:47.079000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"chimique","Qualité de l'air intérieur","Pollution de l'air dans les locaux","Ventilation insuffisante, CO2, COV","INRS","[""air"",""ventilation"",""pollution"",""COV""]","true","true","","695cef1fe682c877aa58fb27","2026-01-06T11:16:47.079000","2026-01-06T11:16:47.079000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"biologique","Agents biologiques","Exposition à des agents pathogènes","Bactéries, virus, parasites, moisissures","INRS","[""biologique"",""infection"",""contamination"",""hygiène""]","true","true","","695cef1fe682c877aa58fb28","2026-01-06T11:16:47.079000","2026-01-06T11:16:47.079000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"biologique","Légionellose","Risque de contamination par légionnelles","Tours aéroréfrigérantes, réseaux d'eau chaude","INRS","[""légionelle"",""eau"",""tour"",""aérosol""]","true","true","","695cef1fe682c877aa58fb29","2026-01-06T11:16:47.079000","2026-01-06T11:16:47.079000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"biologique","Hygiène alimentaire","Risques liés à la manipulation d'aliments","Restauration, agroalimentaire, cuisine collective","INRS","[""alimentaire"",""HACCP"",""contamination"",""hygiène""]","true","true","","695cef1fe682c877aa58fb2a","2026-01-06T11:16:47.079000","2026-01-06T11:16:47.079000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"biologique","Piqûres et morsures","Risque de piqûres d'insectes ou morsures d'animaux","Travail extérieur, élevage, espaces verts","INRS","[""piqûre"",""morsure"",""insecte"",""animal""]","true","true","","695cef1fe682c877aa58fb2b","2026-01-06T11:16:47.079000","2026-01-06T11:16:47.079000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"organisationnel","Travail isolé","Travail effectué seul, hors de vue et de portée de voix","Gardiennage, maintenance, travail de nuit","INRS","[""isolé"",""seul"",""PTI"",""surveillance""]","true","true","","695cef1fe682c877aa58fb2c","2026-01-06T11:16:47.079000","2026-01-06T11:16:47.079000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"organisationnel","Travail de nuit / posté","Organisation du travail en horaires atypiques","3x8, nuit, astreintes","INRS","[""nuit"",""posté"",""3x8"",""rythme""]","true","true","","695cef1fe682c877aa58fb2d","2026-01-06T11:16:47.079000","2026-01-06T11:16:47.079000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"organisationnel","Co-activité","Intervention simultanée de plusieurs entreprises","Chantiers, maintenance, sous-traitance","INRS","[""coactivité"",""entreprise extérieure"",""plan de prévention""]","true","true","","695cef1fe682c877aa58fb2e","2026-01-06T11:16:47.079000","2026-01-06T11:16:47.079000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
"organisationnel","Intérimaires et nouveaux embauchés","Risques liés au manque d'expérience et de formation","Accueil sécurité, formation au poste","INRS","[""intérimaire"",""nouveau"",""formation"",""accueil""]","true","true","","695cef1fe682c877aa58fb2f","2026-01-06T11:16:47.079000","2026-01-06T11:16:47.079000","695ceeabe682c877aa58faf1","ddwinsolutions@gmail.com","false"
